1,19,7,13,12
16,9,14,6,6
3,15,10,10,18
13,10,12,1,6
9,10,16,8,5
12,12,14,2,8
16,10,15,2,6
14,13,9,7,10
3,17,14,10,12
7,14,12,8,5
13,7,12,1,7
7,10,3,18,10
11,5,9,4,4
9,10,14,6,8
13,11,8,11,11
2,13,9,11,19
6,17,7,17,13
15,9,13,3,6
10,6,11,5,9
9,15,11,12,13
20,6,14,2,3
11,9,15,5,10
6,19,10,7,15
16,4,12,4,6
13,12,15,5,13
6,11,15,4,17
4,6,15,6,14
9,7,12,10,11
4,7,15,12,12
3,9,5,18,11
8,10,15,7,13
7,13,7,10,8
4,11,10,14,14
11,16,11,2,11
7,9,18,5,14
9,12,16,4,3
4,11,7,10,14
19,11,12,4,8
6,3,13,5,6
2,10,10,18,8
1,11,10,12,15
11,8,14,11,6
9,12,11,5,10
0,13,15,12,13
13,8,19,7,8
13,15,10,7,20
13,4,7,5,3
11,15,6,10,15
2,8,13,11,16
8,10,20,17,6
19,12,14,1,4
15,15,12,4,8
2,7,8,17,18
5,9,15,8,16
7,10,8,11,9
11,10,7,5,6
8,6,6,8,11
14,18,9,8,9
2,14,8,10,14
4,8,12,7,12
14,5,8,16,11
10,12,13,14,15
3,14,7,9,14
12,13,12,6,12
6,10,16,12,14
3,6,8,17,17
4,6,7,12,13
7,15,16,9,13
1,11,10,13,10
15,12,14,3,8
9,8,11,9,8
19,13,13,1,4
8,9,13,16,8
2,9,6,13,13
10,12,12,7,8
3,10,7,12,21
4,9,11,14,14
8,12,10,4,16
12,8,17,6,14
4,8,7,11,9
1,12,11,14,8
5,12,14,5,7
6,8,9,7,22
9,8,11,11,6
7,12,9,10,11
10,13,13,3,5
11,10,15,3,5
6,10,5,20,10
8,15,12,10,10
0,6,9,17,13
16,17,16,3,8
2,14,6,17,16
7,13,11,4,8
1,14,7,13,12
1,8,9,8,18
2,12,17,16,15
7,13,15,11,16
8,5,11,1,7
15,10,11,1,4
2,17,6,10,12
